timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:47:18,b'Ada permainan dalam FE nya @aniesbaswedan\nApalagi permainan anggaran.\nPermainan politik.\n@KPK_RI hrs msk dan mengusut tuntas permainan ini.\n@aherrys\n@tatakujiyati\n@DharulFit\n@LOGIKA01772169\n@Mdy_Asmara1701\n@aniesfor2024\n@Anies4Indonesia\n@SuaraAnies\nhttps://t.co/CuTj0Za4Hq',0,0,1531210635060465664,lelakimusaja
2022-05-30 09:47:08,b'RT @ASastroamidjojo: Saya berharap pembangunan yang mepet ini tidak mengorbankan kualitas sehingga mengancam keselamatan orang-orang yang d\xe2\x80\xa6',0,4,1531210593025241088,LaingenLisa
2022-05-30 09:47:08,b'RT @formulatwtindo: 5 Hari Menuju Jakarta ePrix dan kami akan bikin thread buat temen-temen yang mungkin ga ngerti apa itu balapan Formula\xe2\x80\xa6',0,3,1531210592534441985,DP_ADP
2022-05-30 09:47:05,b'RT @maspiyuaja: Tiket Formula E Laris Manis Buah dari Getirnya Perjuangan Anies https://t.co/jgYtjXySDs https://t.co/4PQAr32mmW',0,125,1531210580660715520,ahmadkosasih03
2022-05-30 09:47:03,"b'Mereka tahu, karena DKI suka kelebihan bayar selama dipimpin gubernur pembohong. \n\nWagub DKI Jawab Commitment Fee Formula E Jakarta Lebih Mahal dari Negara Lain https://t.co/MvSheUdAOM'",4,3,1531210570619588609,yusuf_dumdum
2022-05-30 09:47:02,b'RT @ASastroamidjojo: Insiden robohnya atap tribun penonton Formula E membuat saya khawatir akan faktor keselamatan mengingat cuaca akhir-ak\xe2\x80\xa6',0,9,1531210566361960449,LaingenLisa
2022-05-30 09:46:51,"b'@codernubie @kalakaku @MurtadhaOne1 ini isinya \xf0\x9f\x98\x81, buzzer serempak angkat beritanya ini semua, sesuai arahan kaka pembina\nhttps://t.co/kKFQhVgJin'",0,0,1531210523328786432,Sanjyuichi
2022-05-30 09:46:50,"b'RT @Darwan45537622: @BossTemlen @erickthohir Tidak Ada BUMN Yang Jadi Sponsor Formula E, Said Didu: BUMN Sudah Dijadikan Alat Kepentingan P\xe2\x80\xa6'",0,2,1531210516651462658,SingaHutan99
2022-05-30 09:46:49,b'@NyaiiBubu Formula E kebanyakan drama.',2,2,1531210512985636864,Omyung0505
2022-05-30 09:46:40,b'XL Axiata Hadirkan 5G di Ajang Formula E Jakarta https://t.co/VLhFJrtoec',0,0,1531210475920584704,InvestorID
2022-05-30 09:46:40,"b'RT @BossTemlen: Ajang internasional Formula E ada sponsor dari perusahan BUMN gak ya? Klo gak ada, itu artinya membuktikan bahwa dalam seka\xe2\x80\xa6'",0,93,1531210474104422400,Sidik_A_Karim
2022-05-30 09:46:38,"b'MotoGP Mandalika dan Formula E sama menyasar sukses sports tourism. Di luar tsb, FE belum ada dampak ke minat masyarakat pakai mobil berenergi terbarukan sementara MotoGP jelas sukses dongkrak kreditan motor dan angka kecelakaan pemotor halu yang menikung dengan kecepatan tinggi.'",0,0,1531210465883623425,bedahplastik
2022-05-30 09:46:34,"b'RT @MrsRachelIn: Trus sisanya 4 tahun kedepan siapa yang bayar ? \n\nAnies Diingatkan Harus Bayar Formula E 5 Tahun, Wagub DKI: Sudah Berpros\xe2\x80\xa6'",0,51,1531210451681673217,Cucuk_njemamus
2022-05-30 09:46:32,"b'RT @GunRomli: Ini tenda Hajatan Formula E yg nyedot ratusan miliar duit rakyat DKI? Tribunnya abal-abal, buah dari kebodohan &amp; kesombongan\xe2\x80\xa6'",0,651,1531210443557335042,FebyAuliaPutr11
